timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1773324352290,6,POST /api/events,201,,50 Concurrent Students 1-3,text,true,,691,634,25,25,http://localhost:8080/api/events,5,0,0
1773324352394,5,POST /api/events,201,,50 Concurrent Students 1-23,text,true,,694,636,25,25,http://localhost:8080/api/events,5,0,0
1773324352531,9,POST /api/events/evt-002/register,409,,50 Concurrent Students 1-5,text,false,,399,481,25,25,http://localhost:8080/api/events/evt-002/register,9,0,0
1773324352796,5,POST /api/events/evt-002/register,409,,50 Concurrent Students 1-3,text,false,,399,481,25,25,http://localhost:8080/api/events/evt-001/register,5,0,0
1773324352901,4,POST /api/events/evt-002/register,409,,50 Concurrent Students 1-23,text,false,,399,481,25,25,http://localhost:8080/api/events/evt-003/register,4,0,0
1773324352413,577,POST /api/auth/login,200,,50 Concurrent Students 1-10,text,true,,729,522,25,25,http://localhost:8080/api/auth/login,577,0,0
1773324353041,1071,POST /api/auth/login,200,,50 Concurrent Students 1-5,text,true,,729,522,25,25,http://localhost:8080/api/auth/login,1071,0,0
1773324353418,860,POST /api/auth/login,200,,50 Concurrent Students 1-23,text,true,,729,522,25,25,http://localhost:8080/api/auth/login,860,0,0
1773324353412,1045,POST /api/auth/login,200,,50 Concurrent Students 1-3,text,true,,729,522,25,25,http://localhost:8080/api/auth/login,1045,0,0
1773324212321,144055,GET /api/events (all),200,,50 Concurrent Students 1-13,text,true,,169489,419,25,25,http://localhost:8080/api/events,144054,0,0
1773324356888,51,GET /api/events?type=gaming,200,,50 Concurrent Students 1-13,text,true,,169489,430,25,25,http://localhost:8080/api/events?typegaming,32,0,7
1773324217567,139532,GET /api/events (all),200,,50 Concurrent Students 1-22,text,true,,171678,419,25,25,http://localhost:8080/api/events,139505,0,0
1773324357490,188,POST /api/students/subscribe,201,,50 Concurrent Students 1-13,text,true,,452,534,25,25,http://localhost:8080/api/students/subscribe,188,0,0
1773324357612,755,GET /api/events?type=gaming,200,,50 Concurrent Students 1-22,text,true,,171678,430,25,25,http://localhost:8080/api/events?typegaming,604,0,349
1773324358186,181,POST /api/events,201,,50 Concurrent Students 1-13,text,true,,693,636,25,25,http://localhost:8080/api/events,181,0,0
1773324358875,20,POST /api/events/evt-002/register,409,,50 Concurrent Students 1-13,text,false,,399,481,25,25,http://localhost:8080/api/events/evt-001/register,20,0,0
1773324358874,21,POST /api/students/subscribe,201,,50 Concurrent Students 1-22,text,true,,452,534,25,25,http://localhost:8080/api/students/subscribe,21,0,0
1773324359408,10,POST /api/events,201,,50 Concurrent Students 1-22,text,true,,693,636,25,25,http://localhost:8080/api/events,10,0,0
1773324359923,2,POST /api/events/evt-002/register,409,,50 Concurrent Students 1-22,text,false,,399,481,25,25,http://localhost:8080/api/events/evt-002/register,2,0,0
1773324359408,660,POST /api/auth/login,200,,50 Concurrent Students 1-13,text,true,,729,522,25,25,http://localhost:8080/api/auth/login,660,0,0
1773324360427,627,POST /api/auth/login,200,,50 Concurrent Students 1-22,text,true,,729,522,25,25,http://localhost:8080/api/auth/login,627,0,0
1773324296990,71259,GET /api/events (all),200,,50 Concurrent Students 1-12,text,true,,173517,419,25,25,http://localhost:8080/api/events,71246,0,0
1773324368760,11,GET /api/events?type=gaming,200,,50 Concurrent Students 1-12,text,true,,173517,430,25,25,http://localhost:8080/api/events?typegaming,9,0,3
1773324369281,31,POST /api/students/subscribe,201,,50 Concurrent Students 1-12,text,true,,452,534,25,25,http://localhost:8080/api/students/subscribe,31,0,0
1773324369817,45,POST /api/events,201,,50 Concurrent Students 1-12,text,true,,694,636,25,25,http://localhost:8080/api/events,45,0,0
1773324370368,3,POST /api/events/evt-002/register,409,,50 Concurrent Students 1-12,text,false,,399,481,25,25,http://localhost:8080/api/events/evt-001/register,3,0,0
1773324370884,696,POST /api/auth/login,200,,50 Concurrent Students 1-12,text,true,,729,522,25,25,http://localhost:8080/api/auth/login,696,0,0
1773324236561,141881,GET /api/events (all),200,,50 Concurrent Students 1-20,text,true,,172411,419,25,25,http://localhost:8080/api/events,141878,0,0
1773324379004,136,GET /api/events?type=gaming,200,,50 Concurrent Students 1-20,text,true,,172411,430,25,25,http://localhost:8080/api/events?typegaming,116,0,3
1773324379644,12,POST /api/students/subscribe,201,,50 Concurrent Students 1-20,text,true,,452,534,25,25,http://localhost:8080/api/students/subscribe,12,0,0
1773324380167,31,POST /api/events,201,,50 Concurrent Students 1-20,text,true,,693,636,25,25,http://localhost:8080/api/events,31,0,0
1773324380706,4,POST /api/events/evt-002/register,409,,50 Concurrent Students 1-20,text,false,,399,481,25,25,http://localhost:8080/api/events/evt-002/register,4,0,0
1773324381212,482,POST /api/auth/login,200,,50 Concurrent Students 1-20,text,true,,729,522,25,25,http://localhost:8080/api/auth/login,482,0,0
1773324299317,86831,GET /api/events (all),200,,50 Concurrent Students 1-25,text,true,,173881,419,25,25,http://localhost:8080/api/events,86829,0,0
1773324386653,20,GET /api/events?type=gaming,200,,50 Concurrent Students 1-25,text,true,,173881,430,25,25,http://localhost:8080/api/events?typegaming,18,0,4
1773324387188,3,POST /api/students/subscribe,201,,50 Concurrent Students 1-25,text,true,,452,534,25,25,http://localhost:8080/api/students/subscribe,3,0,0
